19-4-4 07:39:20.8|Info|UpdateApp|Starting Sonarr Update Client
19-4-4 07:39:31.9|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/128.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.0|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/32.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/32.png]
19-4-4 07:39:32.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/32.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/48.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/48.png]
19-4-4 07:39:32.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/48.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/logos/64.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/64.png]
19-4-4 07:39:32.3|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/logos/64.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.4|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/Images/safari] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari]
19-4-4 07:39:32.4|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/safari/logo.svg] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari/logo.svg]
19-4-4 07:39:32.4|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/safari/logo.svg for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.5|Debug|DiskTransferService|Mirror [/opt/NzbDrone/UI/Content/Images/touch] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch]
19-4-4 07:39:32.5|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/114.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/114.png]
19-4-4 07:39:32.5|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/114.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.6|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/144.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/144.png]
19-4-4 07:39:32.7|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/144.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.7|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/57.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/57.png]
19-4-4 07:39:32.8|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/57.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.8|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/touch/72.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/72.png]
19-4-4 07:39:32.9|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/touch/72.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:32.9|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/404.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/404.png]
19-4-4 07:39:33.0|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/404.png for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.1|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/favicon-debug.ico] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon-debug.ico]
19-4-4 07:39:33.1|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon-debug.ico for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.2|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/favicon.ico] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon.ico]
19-4-4 07:39:33.2|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/favicon.ico for symlink returned error ENOENT, assuming it's not a symlink.
19-4-4 07:39:33.3|Debug|DiskTransferService|Copy [/opt/NzbDrone/UI/Content/Images/poster-dark.png] > [/tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/poster-dark.png]
19-4-4 07:39:33.3|Trace|SymbolicLinkResolver|Checking path /tmp/nzbdrone_update/nzbdrone_backup/UI/Content/Images/poster-dark.png for symlink returned error ENOENT, assuming it's not a symlink.
